date,avg_modal_price
2025-12-01,2070.0
2025-12-02,2205.25
2025-12-03,2003.4
2025-12-04,2042.857142857143
2025-12-05,2141.0
2025-12-06,2033.3333333333333
2025-12-08,2317.3333333333335
2025-12-09,1960.0
2025-12-10,1825.0
2025-12-11,2028.5714285714287
2025-12-12,2228.375
2025-12-13,1550.0
2025-12-15,2002.7272727272727
2025-12-16,2048.75
2025-12-17,1774.5
2025-12-18,2090.909090909091
2025-12-19,1873.0
2025-12-20,1843.090909090909
2025-12-22,1948.1
2025-12-23,2033.3333333333333
2025-12-24,1827.8333333333333
2025-12-26,1971.4285714285713
2025-12-27,1450.0
2025-12-28,1300.0
2025-12-29,1978.375
2025-12-30,1890.875
2025-12-31,1679.375
