date,avg_modal_price
2025-12-01,2825.0
2025-12-02,2790.0
2025-12-03,2875.0
2025-12-04,2333.3333333333335
2025-12-05,2400.0
2025-12-06,2183.3333333333335
2025-12-07,4000.0
2025-12-08,3012.5
2025-12-09,2360.0
2025-12-10,2580.0
2025-12-11,2750.0
2025-12-12,2958.3333333333335
2025-12-13,3500.0
2025-12-14,3200.0
2025-12-15,2747.0
2025-12-16,2497.4285714285716
2025-12-17,2700.0
2025-12-18,2528.5714285714284
2025-12-19,2630.1666666666665
2025-12-20,2309.5
2025-12-21,4000.0
2025-12-22,2812.5
2025-12-23,2760.0
2025-12-24,2950.0
2025-12-26,2547.0
2025-12-27,3250.0
2025-12-29,2883.3333333333335
2025-12-30,2833.3333333333335
2025-12-31,2728.5714285714284
