date,avg_modal_price
2025-12-01,3400.0
2025-12-02,3350.0
2025-12-03,3572.25
2025-12-04,3567.0
2025-12-05,3800.0
2025-12-06,3400.0
2025-12-08,3273.3333333333335
2025-12-09,3168.25
2025-12-10,3805.5
2025-12-11,3508.5
2025-12-12,3406.0
2025-12-13,3682.0
2025-12-15,3609.6666666666665
2025-12-16,3836.5
2025-12-17,3825.6666666666665
2025-12-18,3633.6
2025-12-19,3615.5
2025-12-20,3511.2
2025-12-22,3554.0
2025-12-23,3763.5
2025-12-24,3488.25
2025-12-25,3474.0
2025-12-26,3742.75
2025-12-27,3209.3333333333335
2025-12-29,3589.4285714285716
2025-12-30,3538.3333333333335
2025-12-31,3665.3333333333335
